,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,V4Glider,V4Glider,V4Glider,V4Glider,V4Glider,V4Glider,V4Glider,V4Glider:Marker 001,V4Glider:Marker 001,V4Glider:Marker 001,V4Glider:Marker 002,V4Glider:Marker 002,V4Glider:Marker 002,V4Glider:Marker 003,V4Glider:Marker 003,V4Glider:Marker 003,V4Glider:Marker 004,V4Glider:Marker 004,V4Glider:Marker 004,V4Glider:Marker 005,V4Glider:Marker 005,V4Glider:Marker 005
,ID,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,"B5F4586A010711EFBD9122A53CA87A8A","B5F4586A010711EFBD9122A53CA87A8A","B5F4586A010711EFBD9122A53CA87A8A","B5F45868010711EFBD9122A53CA87A8A","B5F45868010711EFBD9122A53CA87A8A","B5F45868010711EFBD9122A53CA87A8A","B5F45869010711EFBD9122A53CA87A8A","B5F45869010711EFBD9122A53CA87A8A","B5F45869010711EFBD9122A53CA87A8A","B5F45866010711EFBD9122A53CA87A8A","B5F45866010711EFBD9122A53CA87A8A","B5F45866010711EFBD9122A53CA87A8A","B5F45867010711EFBD9122A53CA87A8A","B5F45867010711EFBD9122A53CA87A8A","B5F45867010711EFBD9122A53CA87A8A"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
95,0.791667,-0.079455,-0.063027,-0.002717,0.994840,-642.655701,1607.159302,31.387571,-635.403625,1619.806763,134.353455,-655.125488,1576.524902,-114.934067,-821.657043,1615.032471,26.771255,-643.712463,1614.137817,32.406834,-674.762573,1629.199463,172.648392
96,0.800000,-0.079593,-0.070807,-0.002783,0.994306,-590.474121,1608.486572,31.316883,-584.525757,1621.869385,134.339493,-600.858276,1577.887695,-115.231964,-769.292236,1616.188721,23.977165,-591.548157,1615.328735,32.294350,-625.161926,1630.289307,172.297638
97,0.808333,-0.079897,-0.077567,-0.002130,0.993778,-538.459534,1609.377686,31.227835,-533.960754,1622.737915,134.252579,-546.891052,1578.698120,-115.284737,-717.194519,1616.645630,21.479918,-539.354126,1616.179199,32.310215,-575.091858,1631.277954,171.636993
98,0.816667,-0.079292,-0.084595,-0.002904,0.993251,-486.456451,1609.565063,31.371098,-483.898621,1622.637573,134.731339,-492.967590,1579.052979,-115.378609,-664.945801,1616.884155,19.143356,-487.453125,1616.468872,32.299572,-524.930603,1631.335938,171.329330
99,0.825000,-0.078749,-0.091006,-0.001794,0.992730,-434.858612,1609.384521,31.524870,-433.677734,1622.366821,134.915497,-439.455627,1578.950806,-115.332680,-613.223938,1616.123413,16.995594,-435.822083,1616.289185,32.536491,-475.079132,1630.886963,171.171448
100,0.833333,-0.077647,-0.096623,-0.001605,0.992287,-383.260162,1608.752808,31.862705,-383.070129,1621.739868,135.079407,-386.348480,1578.563354,-115.230095,-561.415344,1615.270142,15.329636,-384.467804,1615.732910,32.854393,-425.278534,1629.816650,170.737015
101,0.841667,-0.075967,-0.102320,-0.000624,0.991846,-331.889496,1607.940063,32.010147,-332.809814,1620.685303,135.246231,-333.559296,1578.269653,-115.299973,-509.822021,1613.946045,13.465302,-333.229889,1614.918945,32.995251,-375.516083,1628.403076,170.829346
102,0.850000,-0.074067,-0.108346,0.002381,0.991347,-280.286377,1606.683228,32.424622,-282.609833,1618.972168,135.584503,-280.429382,1577.510254,-114.977676,-457.861938,1611.436157,11.858139,-281.848541,1613.713013,33.330837,-325.701630,1626.424805,170.703735
103,0.858333,-0.072354,-0.112409,0.001007,0.991024,-229.479523,1605.084595,32.781124,-232.557526,1617.314087,136.061630,-228.037933,1576.450439,-114.975052,-406.859589,1610.222778,10.659547,-231.096664,1611.979126,33.895821,-275.774506,1624.437988,170.684860
104,0.866667,-0.069747,-0.115762,0.001052,0.990825,-178.700974,1603.187866,33.157745,-182.489090,1615.146118,136.450256,-176.060669,1575.402100,-114.688217,-356.049225,1608.253662,9.848582,-180.361313,1609.969971,34.285976,-225.800171,1621.748169,170.880356
105,0.875000,-0.066361,-0.118941,0.001211,0.990680,-128.206940,1601.072388,33.586487,-132.648392,1612.115845,136.887421,-124.723831,1574.115479,-114.510597,-305.404175,1606.020996,9.286366,-129.553207,1607.940918,34.892601,-176.601959,1618.609497,171.060883
106,0.883333,-0.063287,-0.122653,0.003569,0.990423,-77.350098,1599.055298,34.015858,-82.774956,1609.163696,137.771210,-72.920593,1572.731323,-114.147232,-254.337784,1603.097534,8.398617,-78.718498,1606.132812,35.545868,-126.465706,1615.446289,171.465225
107,0.891667,-0.059901,-0.124197,0.003802,0.990441,-27.118347,1596.692993,34.396317,-32.892109,1605.901001,138.177597,-21.878191,1571.286255,-113.636780,-204.209900,1600.664673,8.347061,-28.175514,1603.825806,35.812866,-76.853844,1612.074829,171.887421
108,0.900000,-0.054842,-0.126644,0.006212,0.990412,23.145832,1594.444946,35.166340,17.007881,1602.510132,138.719589,28.749758,1570.021606,-113.116783,-153.815277,1597.571777,8.339306,21.975258,1601.977173,36.690392,-27.539621,1607.880371,172.456650
109,0.908333,-0.049228,-0.127699,0.007510,0.990562,72.922661,1591.762451,35.658436,66.633415,1598.765503,139.666382,79.517380,1569.055054,-112.717247,-104.050819,1594.461670,8.526527,71.981194,1599.264160,37.414764,22.165173,1603.518188,173.137024
110,0.916667,-0.044205,-0.129827,0.008468,0.990515,123.015953,1589.196899,36.650784,116.095604,1595.661743,140.428543,129.720520,1567.890381,-112.180946,-53.817276,1591.582520,8.804919,121.689201,1596.569336,38.310177,71.573830,1599.205688,173.912613
111,0.925000,-0.038685,-0.130676,0.009884,0.990621,172.805313,1586.466553,37.455795,165.507782,1591.026367,141.369568,179.219574,1566.933228,-111.370049,-4.020107,1588.341919,9.268649,171.322800,1593.824097,39.181984,121.448914,1595.228394,174.814453
112,0.933333,-0.031473,-0.130305,0.011949,0.990902,222.082672,1583.880615,38.159416,214.807404,1587.050049,142.189255,229.594864,1566.644653,-110.831001,45.128269,1585.091675,10.237144,220.838394,1590.982666,40.191864,170.989349,1590.575439,175.758591
